GameID,Team A,Team A Score,Team A WKLoss,Team B,Team B Score,Team B WKLoss,DT_firstInning,DT_secondInning,DT_Points_TeamA,DT_Points_TeamB,DT_C_Team,DT_C_BattingOrder,DT_C_BattingOrder_Inning,DT_C_Position_Inning,DT_VC_Team,DT_VC_BattingOrder,DT_VC_BattingOrder_Inning,DT_VC_Position_Inning,DT_C_Position,DT_VC_Position,DT_CVC,DT_TeamA_PlayersCount,DT_TeamB_PlayersCount,DT_Ratio_of_Players,DT_CVC_Ratio,DT_C_Ratio_Inning,DT_VC_Ratio_Inning,DT_C_Position_Ratio_of_Players,DT_VC_Position_Ratio_of_Players,DT_TeamA_PrevMatch_PlayerCount,DT_TeamA_PrevMatch_Captain,DT_TeamA_PrevMatch_Vice-Captain,DT_TeamB_PrevMatch_PlayerCount,DT_TeamB_PrevMatch_Captain,DT_TeamB_PrevMatch_Vice-Captain
20240512RRCSK,RR,MED,MED,CSK,MED,MED,RR,CSK,244,328,CSK,11,11_2nd Inning,BOWL_2nd Inning,RR,4,4_1st Inning,ALL_1st Inning,BOWL,ALL,Different,5,6,6:5,Different_6:5,Different_2nd Inning_6:5,Different_1st Inning_6:5,Different_BOWL_6:5,Different_ALL_6:5,4,Yes,No,6,No,No
20240514LSGDC,LSG,HIGH,HIGH,DC,HIGH,LOW,DC,LSG,294,526,DC,5,5_1st Inning,BAT_1st Inning,LSG,8,8_2nd Inning,BOWL_2nd Inning,BAT,BOWL,Different,4,7,7:4,Different_7:4,Different_1st Inning_7:4,Different_2nd Inning_7:4,Different_BAT_7:4,Different_BOWL_7:4,4,No,No,5,No,Yes
20240515PBKSRR,PBKS,MED,MED,RR,MED,HIGH,RR,PBKS,402,289,PBKS,5,5_2nd Inning,ALL_2nd Inning,RR,4,4_1st Inning,ALL_1st Inning,ALL,ALL,Different,6,5,6:5,Different_6:5,Different_2nd Inning_6:5,Different_1st Inning_6:5,Different_ALL_6:5,Different_ALL_6:5,5,No,Yes,5,No,Yes
20240517LSGMI,LSG,HIGH,MED,MI,HIGH,MED,LSG,MI,452,388,LSG,5,5_1st Inning,WK_1st Inning,MI,1,1_2nd Inning,BAT_2nd Inning,WK,BAT,Different,7,4,7:4,Different_7:4,Different_1st Inning_7:4,Different_2nd Inning_7:4,Different_WK_7:4,Different_BAT_7:4,4,No,Yes,5,No,Yes
20240518CSKRCB,CSK,HIGH,MED,RCB,HIGH,MED,RCB,CSK,300,433,RCB,2,2_1st Inning,BAT_1st Inning,CSK,2,2_2nd Inning,BAT_2nd Inning,BAT,BAT,Different,5,6,6:5,Different_6:5,Different_1st Inning_6:5,Different_2nd Inning_6:5,Different_BAT_6:5,Different_BAT_6:5,6,Yes,No,6,Yes,No
20240519PBKSSRH,PBKS,HIGH,MED,SRH,HIGH,MED,PBKS,SRH,415,339,PBKS,2,2_1st Inning,WK_1st Inning,SRH,2,2_2nd Inning,BAT_2nd Inning,WK,BAT,Different,6,5,6:5,Different_6:5,Different_1st Inning_6:5,Different_2nd Inning_6:5,Different_WK_6:5,Different_BAT_6:5,6,Yes,No,7,Yes,Yes
20240521SRHKKR,SRH,MED,HIGH,KKR,MED,LOW,SRH,KKR,192,537,KKR,8,8_2nd Inning,BOWL_2nd Inning,KKR,4,4_2nd Inning,BAT_2nd Inning,BOWL,BAT,Same,3,8,8:3,Same_8:3,Same_2nd Inning_8:3,Same_2nd Inning_8:3,Same_BOWL_8:3,Same_BAT_8:3,5,No,Yes,6,Yes,No
20240522RCBRR,RCB,MED,HIGH,RR,MED,MED,RCB,RR,324,332,RR,10,10_2nd Inning,BOWL_2nd Inning,RR,1,1_2nd Inning,BAT_2nd Inning,BOWL,BAT,Same,6,5,6:5,Same_6:5,Same_2nd Inning_6:5,Same_2nd Inning_6:5,Same_BOWL_6:5,Same_BAT_6:5,6,Yes,No,5,No,Yes
20240524SRHRR,SRH,MED,HIGH,RR,MED,MED,SRH,RR,432,399,SRH,8,8_1st Inning,ALL_1st Inning,RR,11,11_2nd Inning,BOWL_2nd Inning,ALL,BOWL,Different,6,5,6:5,Different_6:5,Different_1st Inning_6:5,Different_2nd Inning_6:5,Different_ALL_6:5,Different_BOWL_6:5,3,No,No,5,Yes,Yes
20240526SRHKKR,SRH,LOW,HIGH,KKR,LOW,LOW,SRH,KKR,139,530,KKR,1,1_2nd Inning,WK_2nd Inning,KKR,8,8_2nd Inning,BOWL_2nd Inning,WK,BOWL,Same,3,8,8:3,Same_8:3,Same_2nd Inning_8:3,Same_2nd Inning_8:3,Same_WK_8:3,Same_BOWL_8:3,6,Yes,No,8,Yes,Yes
